241	0	0	0	0	0	0	0	-	1	241	0	241	chr1	249250621	89097518	89097759	1	241,	0,	89097518,
26	0	0	0	0	0	1	9	+	1	241	11	37	chr3	198022430	67668463	67668498	2	8,18,	11,19,	67668463,67668480,
26	0	0	0	1	1	1	11	-	1	241	206	233	chr4	191154276	121793439	121793476	2	10,16,	8,19,	121793439,121793460,
24	0	0	0	1	2	0	0	+	1	241	75	101	chr2	243199373	211258194	211258218	2	19,5,	75,96,	211258194,211258213,
20	0	0	0	0	0	0	0	-	1	241	151	171	chr8	146364022	115856203	115856223	1	20,	70,	115856203,
20	0	0	0	0	0	0	0	-	1	241	217	237	chr3	198022430	112722671	112722691	1	20,	4,	112722671,
21	1	0	0	0	0	0	0	+	1	241	137	159	chr6	171115067	169799179	169799201	1	22,	137,	169799179,
135	1	0	0	0	0	0	0	+	10	253	117	253	chr1	249250621	7853919	7854055	1	136,	117,	7853919,
121	1	0	0	0	0	0	0	-	10	253	0	122	chr9	141213431	107691467	107691589	1	122,	131,	107691467,
79	3	0	0	1	2	2	124	+	10	253	4	88	chr9	141213431	107691538	107691744	3	6,29,47,	4,12,41,	107691538,107691547,107691697,
23	0	0	0	0	0	1	2	-	10	253	114	137	chr5	180915260	6117090	6117115	2	18,5,	116,134,	6117090,6117110,
22	0	0	0	0	0	0	0	-	10	253	153	175	chr17	81195210	21264949	21264971	1	22,	78,	21264949,
22	0	0	0	0	0	0	0	+	10	253	117	139	chr5	180915260	42002107	42002129	1	22,	117,	42002107,
21	0	0	0	0	0	0	0	-	10	253	119	140	chr14	107349540	60823982	60824003	1	21,	113,	60823982,
20	0	0	0	0	0	0	0	-	10	253	14	34	chr2	243199373	125539488	125539508	1	20,	219,	125539488,
172	0	0	0	0	0	0	0	+	11	198	0	172	chr1	249250621	17053960	17054132	1	172,	0,	17053960,
146	13	0	0	1	3	1	1	-	11	198	0	162	chr1	249250621	16872161	16872321	3	108,46,5,	36,144,193,	16872161,16872270,16872316,
146	13	0	0	1	3	1	1	+	11	198	0	162	chr1	249250621	17188598	17188758	3	5,46,108,	0,8,54,	17188598,17188603,17188650,
135	12	0	0	1	7	1	10	-	11	198	17	171	chr1	249250621	149294384	149294541	2	88,59,	27,122,	149294384,149294482,
136	12	0	0	2	14	1	1	-	11	198	0	162	chr1	249250621	17004504	17004653	4	105,21,17,5,	36,141,173,193,	17004504,17004610,17004631,17004648,
121	10	0	0	1	7	1	10	-	11	198	33	171	chr1	249250621	149679928	149680069	2	88,43,	27,122,	149679928,149680026,
249	0	0	0	0	0	0	0	+	12	253	3	252	chr1	249250621	35534424	35534673	1	249,	3,	35534424,
204	20	0	0	3	18	3	88	+	12	253	10	252	chr19	59128983	14688260	14688572	5	8,10,129,13,64,	10,18,31,164,188,	14688260,14688338,14688348,14688491,14688508,
202	22	0	0	1	10	2	22	-	12	253	18	252	chr4	191154276	154224394	154224640	3	65,14,145,	1,76,90,	154224394,154224471,154224495,
200	20	0	0	3	22	2	19	-	12	253	10	252	chr15	102531392	71075192	71075431	4	64,9,130,17,	1,76,90,226,	71075192,71075260,71075284,71075414,
197	18	0	0	3	24	3	27	-	12	253	13	252	chr10	135534747	32373872	32374114	5	64,14,107,26,4,	1,76,90,209,236,	32373872,32373940,32373964,32374084,32374110,
197	19	0	0	3	27	3	29	-	12	253	9	252	chr4	191154276	128535512	128535757	4	64,9,56,87,	1,76,93,157,	128535512,128535580,128535607,128535670,
200	25	0	0	2	13	2	16	+	12	253	14	252	chr19	59128983	5743988	5744229	4	146,5,10,64,	14,162,167,188,	5743988,5744134,5744151,5744165,
200	24	0	0	3	13	2	16	+	12	253	14	251	chr19	59128983	1896023	1896263	4	8,140,13,63,	14,23,164,188,	1896023,1896031,1896183,1896200,
195	21	0	0	2	18	3	20	-	12	253	18	252	chr2	243199373	213361682	213361918	4	65,9,108,34,	1,76,93,201,	213361682,213361751,213361775,213361884,
192	20	0	0	2	18	3	22	+	12	253	18	248	chr11	135006516	75220725	75220959	4	5,137,10,60,	18,23,167,188,	75220725,75220731,75220885,75220899,
196	24	0	0	3	22	3	18	+	12	253	10	252	chr8	146364022	37287576	37287814	5	7,139,15,53,6,	10,23,162,188,246,	37287576,37287587,37287736,37287755,37287808,
