1	chr1	100	241	0	0	1	241	89097759	89097519	3.93e-120	435
1	chr1	92.308	26	2	0	81	106	56420316	56420291	1.1	39.2
1	chr1	87.097	31	4	0	150	180	174065105	174065135	1.1	39.2
1	chr1	92.857	28	1	1	75	101	195841047	195841074	1.1	39.2
1	chr1	90	30	2	1	182	210	85319081	85319052	3.7	38.3
1	chr1	92.593	27	1	1	73	98	3315032	3315058	3.7	37.4
1	chr1	89.655	29	1	1	13	41	242427055	242427029	3.7	37.4
1	chr17	92.857	28	2	0	141	168	46177187	46177214	0.087	42.8
1	chr11	92	25	2	0	24	48	118344080	118344104	3.7	37.4
1	chr10	89.655	29	1	1	13	41	38623660	38623686	3.7	37.4
1	chr8	95.652	23	1	0	212	234	130688770	130688748	3.7	38.3
1	chr8	89.286	28	3	0	76	103	141294733	141294760	3.7	38.3
1	chr8	87.5	32	3	1	199	230	37201453	37201483	3.7	37.4
1	chr8	100	20	0	0	152	171	115856223	115856204	3.7	37.4
1	chrY	88.235	34	3	1	181	214	14090300	14090268	0.3	41
1	chr4	95.833	24	1	0	135	158	101720998	101720975	1.1	40.1
1	chr4	92.308	26	2	0	183	208	58499533	58499508	1.1	39.2
1	chr3	90.323	31	2	1	205	234	186949143	186949173	1.1	40.1
1	chr3	89.655	29	1	1	15	43	108369503	108369477	3.7	37.4
1	chr3	100	20	0	0	218	237	112722691	112722672	3.7	37.4
1	chr5	87.879	33	3	1	209	241	9114835	9114804	1.1	39.2
1	chr5	87.5	32	3	1	181	211	90360373	90360404	3.7	37.4
1	chr2	92	25	2	0	76	100	183112432	183112456	3.7	37.4
1	chr22	92.308	26	2	0	169	194	20453669	20453644	1.1	39.2
1	chr22	92.308	26	2	0	169	194	21745781	21745806	1.1	39.2
1	chr22	92.308	26	2	0	169	194	21897631	21897606	1.1	39.2
1	chr15	95.652	23	1	0	172	194	65906479	65906457	3.7	38.3
1	chr7	92	25	2	0	177	201	12486074	12486050	3.7	37.4
1	chr7	87.097	31	1	1	78	105	111207266	111207236	3.7	37.4
1	chr7	92	25	2	0	82	106	135284500	135284524	3.7	37.4
1	chr14	92	25	2	0	159	183	30154917	30154941	3.7	37.4
1	chr12	92	25	2	0	152	176	81767087	81767063	3.7	37.4
2	chr1	93.617	94	6	0	14	107	174191870	174191777	1.71e-32	143
2	chr13	93.103	29	2	0	87	115	69197583	69197611	0.012	44.6
2	chr9	89.655	29	2	1	80	107	71212397	71212369	6.4	36.5
2	chr6	88.889	27	3	0	33	59	68445142	68445116	6.4	36.5
2	chr6	91.667	24	2	0	82	105	155077725	155077748	6.4	35.6
2	chr4	95.455	22	1	0	92	113	27556245	27556266	6.4	36.5
2	chr4	100	19	0	0	91	109	106841595	106841613	6.4	35.6
2	chr21	88.889	27	3	0	34	60	21074507	21074481	6.4	36.5
2	chr11	88.889	27	3	0	87	113	108138781	108138807	6.4	36.5
2	chr11	95.455	22	1	0	63	84	128241477	128241498	6.4	36.5
3	chr6	96.947	131	1	1	1	128	40561261	40561131	1.07e-54	217
3	chr6	90	30	3	0	30	59	95496527	95496498	0.17	41.9
3	chr6	87.5	32	3	1	30	60	65109270	65109301	2.1	37.4
3	chr6	92	25	2	0	1	25	78567529	78567553	2.1	37.4
3	chr6	95.455	22	1	0	27	48	26807061	26807040	7.2	36.5
3	chr6	100	19	0	0	1	19	52937860	52937878	7.2	35.6
3	chr6	100	19	0	0	5	23	78003480	78003498	7.2	35.6
3	chr18	92.593	27	2	0	3	29	60619618	60619592	0.17	41
3	chr18	90.323	31	2	1	61	90	20480550	20480520	0.59	40.1
3	chr18	89.655	29	2	1	96	123	31537963	31537935	7.2	36.5
3	chr9	90	30	3	0	24	53	28867876	28867847	0.17	41.9
3	chr9	95.455	22	1	0	99	120	33441452	33441431	7.2	36.5
3	chr9	91.667	24	2	0	29	52	76597832	76597855	7.2	35.6
3	chr5	87.879	33	1	1	26	58	26975155	26975126	0.17	41
3	chr5	91.667	24	2	0	73	96	7603429	7603406	7.2	35.6
3	chr5	92.308	26	1	1	30	55	100083422	100083446	7.2	35.6
3	chr5	91.667	24	2	0	17	40	153939320	153939343	7.2	35.6
3	chr10	95.455	22	1	0	19	40	104298965	104298986	7.2	36.5
3	chr1	95.833	24	1	0	21	44	22660006	22660029	0.59	40.1
